City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,st. john's,47.5649,-52.7093,9.98,92,100,5.66,CA,1729986343
140,flin flon,54.7682,-101.865,2.91,75,75,0.0,CA,1729986344
141,bethel,41.3712,-73.414,12.19,46,9,0.89,US,1729986346
142,la passe,45.5549,-0.8967,13.44,89,100,3.74,FR,1729986347
143,plettenberg bay,-34.0527,23.3716,16.02,74,100,0.64,ZA,1729986348
144,al jawf,29.5,38.75,16.24,83,0,2.29,SA,1729986350
145,tezpur,26.6333,92.8,20.23,97,52,2.17,IN,1729986351
146,bayanhongor,46.7167,100.1167,-9.3,80,100,1.53,MN,1729986352
147,jayapura,-2.5333,140.7,23.66,86,92,1.77,ID,1729986353
148,yellowknife,62.456,-114.3525,-1.99,96,75,4.63,CA,1729986301
149,labytnangi,66.6572,66.4183,-7.98,95,100,3.07,RU,1729986355
150,chonchi,-42.6128,-73.8092,10.62,87,51,2.23,CL,1729986357
151,fortuna,40.5982,-124.1573,22.51,63,20,7.72,US,1729986358
152,ust-nera,64.5667,143.2,-18.79,96,98,2.24,RU,1729986359
153,kuala belait,4.5833,114.1833,26.99,79,99,2.02,BN,1729986361
154,zhezqazghan,47.7833,67.7667,7.67,80,100,2.31,KZ,1729986362
155,cill airne,52.05,-9.5167,6.11,86,55,1.33,IE,1729986363
156,pechea,45.6333,27.8,8.23,59,0,3.44,RO,1729986364
157,kone,-21.0595,164.8658,31.07,43,99,4.43,NC,1729986365
158,crucecita,-28.95,-58.9833,16.41,60,0,3.08,AR,1729986367
159,poso,-1.3959,120.7524,27.89,73,70,1.17,ID,1729986368
160,berezovo,63.9381,65.0419,-0.42,96,98,1.96,RU,1729986369
161,college,64.8569,-147.8028,-7.74,73,75,2.06,US,1729986370
162,klyuchi,52.2667,79.1667,8.92,73,99,6.59,RU,1729986371
163,san patricio,28.017,-97.5169,28.97,63,69,4.82,US,1729986373
164,sao gabriel da cachoeira,-0.1303,-67.0892,22.85,98,99,1.63,BR,1729986374
165,hovd,48.0056,91.6419,3.58,56,100,0.62,MN,1729986184
166,puerto armuelles,8.2833,-82.8667,27.83,75,80,0.45,PA,1729986376
167,hermanus,-34.4187,19.2345,16.0,83,99,11.04,ZA,1729986377
168,ribeira brava,32.65,-17.0667,20.4,74,38,2.51,PT,1729986378
169,n'zeto,-7.2312,12.8666,24.36,87,91,2.82,AO,1729986379
170,faya-largeau,17.9257,19.1043,22.43,21,1,8.41,TD,1729986381
171,west island,-12.1568,96.8225,25.99,78,75,5.14,CC,1729986382
172,tromso,69.6496,18.957,7.01,57,75,6.17,NO,1729986383
173,al kharijah,25.4514,30.5464,18.83,41,41,4.03,EG,1729986384
174,hamilton,39.1834,-84.5333,13.25,48,3,1.34,US,1729986131
175,sao felix do xingu,-6.6447,-51.995,27.7,46,100,0.99,BR,1729986388
176,nar'yan-mar,67.6713,53.087,0.89,94,57,3.91,RU,1729986389
177,aldinga beach,-35.2793,138.4604,22.58,50,9,2.31,AU,1729986390
178,ilhabela,-23.7781,-45.3581,22.23,91,92,3.18,BR,1729986033
179,saint-philippe,-21.3585,55.7679,24.05,83,29,2.72,RE,1729986392
180,chom thong,18.4174,98.6743,23.53,90,39,1.2,TH,1729986396
181,bamboo flat,11.7,92.7167,26.05,100,40,1.03,IN,1729986397
182,amga,60.8953,131.9608,-19.06,99,100,0.51,RU,1729986399
183,isyangulovo,52.1909,52.1909,1.38,97,75,3.67,RU,1729986400
184,tinogasta,-28.0632,-67.5649,22.05,39,0,4.72,AR,1729986401
185,brisas de zicatela,15.8369,-97.0419,30.29,84,20,1.03,MX,1729986403
186,ulladulla,-35.35,150.4667,22.35,30,91,1.82,AU,1729986405
187,penzance,50.1186,-5.5371,11.38,89,1,4.22,GB,1729986406
188,goundam,16.4145,-3.6708,30.87,19,60,3.62,ML,1729986407
189,sheregesh,52.9209,87.9869,5.84,98,100,1.97,RU,1729986408
190,gwarzo,11.9152,7.9346,22.74,25,32,3.03,NG,1729986409
191,diego de almagro,-26.3667,-70.05,18.9,30,0,1.76,CL,1729986412
192,bozova,37.3625,38.5267,12.5,39,0,2.02,TR,1729986414
193,lianyuan,27.6883,111.6642,17.29,63,100,1.72,CN,1729986415
194,bikenibeu village,1.3673,173.1241,30.98,70,20,1.54,KI,1729986416
195,east london,-33.0153,27.9116,17.92,82,69,10.6,ZA,1729986322
196,nikolayevsk-on-amure,53.1406,140.73,-1.12,63,21,2.3,RU,1729986418
197,nemuro,43.3236,145.575,10.19,65,100,4.15,JP,1729986419
198,minas de marcona,-15.2119,-75.1103,14.3,75,3,4.53,PE,1729986421
199,mayya,61.7333,130.2811,-18.81,94,59,0.6,RU,1729986423
200,carnarvon,-24.8667,113.6333,23.17,45,0,10.49,AU,1729986424
201,nahiyat al fuhud,30.9697,46.7228,19.8,27,76,3.54,IQ,1729986425
202,hithadhoo,-0.6,73.0833,27.43,75,16,3.0,MV,1729986426
203,fort bragg,35.139,-79.006,22.75,76,0,0.0,US,1729986428
204,cadale,2.7603,46.3222,25.77,84,99,4.29,SO,1729986429
205,margate,51.3813,1.3862,12.15,90,99,3.86,GB,1729986430
206,new norfolk,-42.7826,147.0587,18.17,46,99,3.04,AU,1729986431
207,kruisfontein,-34.0033,24.7314,13.6,87,90,5.4,ZA,1729986432
208,taro,-8.3862,115.28,26.03,57,41,1.19,ID,1729986434
209,dunedin,-45.8742,170.5036,8.78,99,100,0.89,NZ,1729986435
210,ephrata,40.1798,-76.1788,11.99,52,52,3.58,US,1729986436
211,anadyr,64.75,177.4833,-0.72,92,40,10.0,RU,1729986437
212,sovetsk,55.0839,21.8785,10.46,88,84,1.57,RU,1729986438
213,mezhdurechenskiy,59.6,65.9333,1.6,97,100,1.37,RU,1729986439
214,xinzhi,36.4989,111.7047,13.98,65,98,1.04,CN,1729986441
215,thompson,55.7435,-97.8558,1.09,55,75,0.0,CA,1729986442
216,nakambala,-15.8324,27.7799,25.76,34,49,3.35,ZM,1729986443
217,kaiapoi,-43.3783,172.6401,14.19,72,40,3.09,NZ,1729986444
218,ixtapa,20.7,-105.2,30.57,70,0,4.63,MX,1729986445
219,tiksi,71.6872,128.8694,-16.32,93,100,1.44,RU,1729986447
220,sabang,5.8933,95.3214,28.16,79,70,8.68,ID,1729986448
221,baotou,40.6522,109.8222,7.31,54,100,1.18,CN,1729986449
222,namibe,-15.1961,12.1522,20.57,85,93,0.89,AO,1729986450
223,ringkobing,56.0901,8.244,13.99,94,100,4.63,DK,1729986451
224,geraldton,-28.7667,114.6,16.23,72,0,4.12,AU,1729986452
225,remire-montjoly,4.9167,-52.2667,27.02,78,0,2.57,GF,1729986454
226,hashtpar,37.8008,48.9037,13.1,91,100,3.74,IR,1729986455
227,laguna,38.421,-121.4238,26.17,31,0,1.54,US,1729986456
228,ca mau,9.1769,105.15,25.9,89,100,2.78,VN,1729986457
229,quellon,-43.1167,-73.6167,8.28,82,46,4.34,CL,1729986459
230,praia da vitoria,38.7333,-27.0667,18.14,77,75,1.52,PT,1729986460
231,gaozhou,21.9392,110.8461,22.51,76,95,3.42,CN,1729986461
232,kill devil hills,36.0307,-75.676,18.88,71,0,4.63,US,1729986462
233,port isabel,26.0734,-97.2086,28.02,71,0,3.6,US,1729986463
234,caranan,13.5167,123.0156,26.0,84,100,2.25,PH,1729986464
235,salinopolis,-0.6136,-47.3561,27.15,77,26,7.07,BR,1729986466
236,saguenay,48.4168,-71.0657,4.49,76,100,8.23,CA,1729986286
237,songea,-10.6833,35.65,19.04,78,88,3.12,TZ,1729986468
238,qarqaraly,49.4058,75.4742,4.75,75,91,6.64,KZ,1729986469
239,akureyri,65.6835,-18.0878,0.96,80,100,12.35,IS,1729986471
240,ola,59.5833,151.2833,-7.94,53,100,6.38,RU,1729986473
241,dudinka,69.4058,86.1778,-27.09,100,70,2.16,RU,1729986474
242,ciudad cuauhtemoc,22.1833,-97.8333,27.06,78,75,2.57,MX,1729986475
243,panguma,8.1833,-11.1333,21.62,99,42,0.76,SL,1729986477
244,shahin dezh,36.6793,46.5669,6.62,39,28,0.69,IR,1729986478
245,cabedelo,-6.9811,-34.8339,25.37,80,27,5.21,BR,1729986479
246,dothan,31.2232,-85.3905,25.95,65,0,0.42,US,1729986480
247,rosario del tala,-32.3029,-59.1455,16.5,46,0,1.1,AR,1729986481
248,ordubad,38.9059,46.0234,7.02,87,41,3.31,AZ,1729986482
249,isafjordur,66.0755,-23.124,-3.61,85,99,3.15,IS,1729986484
250,rio grande,-32.035,-52.0986,14.56,62,0,1.74,BR,1729986189
251,zouerate,22.7187,-12.4521,22.59,43,90,7.02,MR,1729986486
252,arraial do cabo,-22.9661,-42.0278,23.21,95,93,9.39,BR,1729986488
253,murghob,38.1702,73.9667,-1.69,62,22,2.16,TJ,1729986489
254,aykhal,66.0,111.5,-11.21,97,100,1.18,RU,1729986491
255,christchurch,-43.5333,172.6333,14.11,72,40,3.09,NZ,1729986362
